Date,Month,Product,Product Family,Quarter,Region EN,Select level,Territory EN,Year,Arrow up and down,CY Patients,"CY to PY, %","CY to PY, % negative (for tooltip)","CY to PY, % positive (for tooltip)",Diagnosed Patients,Number of Records,PY Patients
30/06/2019,6,Prd2,FAM1,2,Moscow,FAM1,Moscow,2019,↓,0,-1,-1,,1,1,1
14/07/2019,7,Prd2,FAM1,3,Moscow,FAM1,Moscow,2019,↓,0,-1,-1,,1,1,1
17/07/2019,7,Prd2,FAM1,3,Moscow,FAM1,Moscow,2019,↓,0,-1,-1,,1,1,1
18/07/2019,7,Prd2,FAM1,3,Moscow,FAM1,Moscow,2019,↓,0,-1,-1,,1,1,1
23/07/2019,7,Prd2,FAM1,3,Moscow,FAM1,Moscow,2019,↓,0,-1,-1,,1,1,1
25/07/2019,7,Prd2,FAM1,3,Moscow,FAM1,Moscow,2019,↓,0,-1,-1,,1,1,1
01/08/2019,8,Prd2,FAM1,3,Moscow,FAM1,Moscow,2019,↓,0,-1,-1,,1,1,1
06/08/2019,8,Prd2,FAM1,3,Moscow,FAM1,Moscow,2019,↓,0,-1,-1,,2,1,2
10/08/2019,8,Prd2,FAM1,3,Moscow,FAM1,Moscow,2019,↓,0,-1,-1,,1,1,1
11/08/2019,8,Prd2,FAM1,3,Moscow,FAM1,Moscow,2019,↓,0,-1,-1,,1,1,1
20/08/2019,8,Prd2,FAM1,3,Moscow,FAM1,Moscow,2019,↓,0,-1,-1,,1,1,1
07/09/2019,9,Prd2,FAM1,3,Moscow,FAM1,Moscow,2019,↓,0,-1,-1,,1,1,1
12/09/2019,9,Prd2,FAM1,3,Moscow,FAM1,Moscow,2019,↓,0,-1,-1,,1,1,1
15/09/2019,9,Prd2,FAM1,3,Moscow,FAM1,Moscow,2019,↓,0,-1,-1,,1,1,1
15/10/2019,10,Prd2,FAM1,4,Moscow,FAM1,Moscow,2019,↓,0,-1,-1,,1,1,1
02/12/2019,12,Prd2,FAM1,4,Moscow,FAM1,Moscow,2019,↓,0,-1,-1,,3,1,3
10/12/2019,12,Prd2,FAM1,4,Moscow,FAM1,Moscow,2019,↓,0,-1,-1,,1,1,1
18/12/2019,12,Prd2,FAM1,4,Moscow,FAM1,Moscow,2019,↓,0,-1,-1,,1,1,1
09/01/2020,1,Prd2,FAM1,1,Moscow,FAM1,Moscow,2020,↓,1,0,,,1,1,1
12/01/2020,1,Prd2,FAM1,1,Moscow,FAM1,Moscow,2020,↓,1,0,,,1,1,1
20/01/2020,1,Prd2,FAM1,1,Moscow,FAM1,Moscow,2020,↓,1,0,,,1,1,1
19/02/2020,2,Prd2,FAM1,1,Moscow,FAM1,Moscow,2020,↓,1,0,,,1,1,1
02/03/2020,3,Prd2,FAM1,1,Moscow,FAM1,Moscow,2020,↓,1,0,,,1,1,1
04/03/2020,3,Prd2,FAM1,1,Moscow,FAM1,Moscow,2020,↓,1,0,,,1,1,1
29/05/2019,5,Prd2,FAM1,2,Moscow Region,FAM1,Moscow Region,2019,↓,0,-1,-1,,1,1,1
10/06/2019,6,Prd2,FAM1,2,Moscow Region,FAM1,Moscow Region,2019,↓,0,-1,-1,,1,1,1
01/05/2020,5,Prd2,FAM1,2,Moscow Region,FAM1,Moscow Region,2020,↓,1,0,,,1,1,1
31/05/2020,5,Prd2,FAM1,2,Moscow Region,FAM1,Moscow Region,2020,↓,1,0,,,1,1,1
05/02/2019,2,Prd2,FAM1,1,North-West,FAM1,Arkhangelsk Oblast,2019,↓,0,-1,-1,,1,1,1
16/01/2019,1,Prd2,FAM1,1,North-West,FAM1,Karelia Republic,2019,↓,0,-1,-1,,1,1,1
07/02/2019,2,Prd2,FAM1,1,North-West,FAM1,Karelia Republic,2019,↓,0,-1,-1,,1,1,1
13/02/2019,2,Prd2,FAM1,1,North-West,FAM1,Karelia Republic,2019,↓,0,-1,-1,,1,1,1
15/05/2019,5,Prd2,FAM1,2,North-West,FAM1,Karelia Republic,2019,↓,0,-1,-1,,1,1,1
08/01/2019,1,Prd2,FAM1,1,North-West,FAM1,Komi Republic,2019,↓,0,-1,-1,,1,1,1
28/05/2019,5,Prd2,FAM1,2,North-West,FAM1,Komi Republic,2019,↓,0,-1,-1,,1,1,1
15/04/2019,4,Prd2,FAM1,2,North-West,FAM1,Novgorod Oblast,2019,↓,0,-1,-1,,1,1,1
22/04/2019,4,Prd2,FAM1,2,North-West,FAM1,Novgorod Oblast,2019,↓,0,-1,-1,,1,1,1
02/09/2019,9,Prd2,FAM1,3,North-West,FAM1,Novgorod Oblast,2019,↓,0,-1,-1,,1,1,1
22/04/2019,4,Prd2,FAM1,2,North-West,FAM1,Saint Petersburg,2019,↓,0,-1,-1,,1,1,1
